BNC Code,Course Name,Semester,Room,Description,Credit,Prerequisite
ART111P.1,Arts Foundation in the Performing Arts - The Power of Art,Fall,Rowland,,,
ART111P.2,Arts Foundation in the Performing Arts - The Power of Art,Spring,Rowland,,,
ART111V.1,Arts Foundation in the Visual Arts,Fall,RAC109,"Materials fee: $30.
This introductory course is designed as a wide-ranging overview of the world of visual arts through drawing and two- and three-dimensional design. You will gain knowledge from a series of hands-on projects to improve technical skills and compositional layout through media such as pencil, cardboard, charcoal, collage, digital programs on tablets, ink, and painting You will discuss visual art from a historical and contemporary context, studying past artwork in class and through exhibitions showcased in The Gallery at the Rhodes Arts Center. Prepare to dive deeply into fascinating topics like color theory, reflect on the creative process, and write about art. You will learn concepts, technical skills, and vocabulary that will prepare you to confidently enroll in any visual art course in the future.",Half credit.,Prerequisite: None. 9th-grade students are required to choose this course or ART 111P.
ART111V.2,Arts Foundation in the Visual Arts,Fall,RAC109,"Materials fee: $30.
This introductory course is designed as a wide-ranging overview of the world of visual arts through drawing and two- and three-dimensional design. You will gain knowledge from a series of hands-on projects to improve technical skills and compositional layout through media such as pencil, cardboard, charcoal, collage, digital programs on tablets, ink, and painting You will discuss visual art from a historical and contemporary context, studying past artwork in class and through exhibitions showcased in The Gallery at the Rhodes Arts Center. Prepare to dive deeply into fascinating topics like color theory, reflect on the creative process, and write about art. You will learn concepts, technical skills, and vocabulary that will prepare you to confidently enroll in any visual art course in the future.",Half credit.,Prerequisite: None. 9th-grade students are required to choose this course or ART 111P.
ART111V.3,Arts Foundation in the Visual Arts,Spring,RAC109,"Materials fee: $30.
This introductory course is designed as a wide-ranging overview of the world of visual arts through drawing and two- and three-dimensional design. You will gain knowledge from a series of hands-on projects to improve technical skills and compositional layout through media such as pencil, cardboard, charcoal, collage, digital programs on tablets, ink, and painting You will discuss visual art from a historical and contemporary context, studying past artwork in class and through exhibitions showcased in The Gallery at the Rhodes Arts Center. Prepare to dive deeply into fascinating topics like color theory, reflect on the creative process, and write about art. You will learn concepts, technical skills, and vocabulary that will prepare you to confidently enroll in any visual art course in the future.",Half credit.,Prerequisite: None. 9th-grade students are required to choose this course or ART 111P.
ART111V.4,Arts Foundation in the Visual Arts,Spring,RAC109,"Materials fee: $30.
This introductory course is designed as a wide-ranging overview of the world of visual arts through drawing and two- and three-dimensional design. You will gain knowledge from a series of hands-on projects to improve technical skills and compositional layout through media such as pencil, cardboard, charcoal, collage, digital programs on tablets, ink, and painting You will discuss visual art from a historical and contemporary context, studying past artwork in class and through exhibitions showcased in The Gallery at the Rhodes Arts Center. Prepare to dive deeply into fascinating topics like color theory, reflect on the creative process, and write about art. You will learn concepts, technical skills, and vocabulary that will prepare you to confidently enroll in any visual art course in the future.",Half credit.,Prerequisite: None. 9th-grade students are required to choose this course or ART 111P.
ART301.1,Video as Visual Art I,Fall,RAC113,"In this course, you will learn how to use video as an artistic medium by developing skills and creating your own individual video works. You will take your work from the idea stage to a finished work by designing projects with artistic intent, using tools such as storyboards, shot lists, and post-production editing. You will explore visual art design composition and apply visual terminology to your work. In discussions of individual videos and critiques of finished projects, you will learn how to interpret and describe them using the vocabulary of art and design. Not only will you learn technical skill and artistic theory, but you will develop your ability to think visually and solve problems creatively.",Half credit.,Prerequisite: None.
ART302.1,Painting I,Fall,RAC111,"Materials fee: $80.
In this hands-on visual art class, you will be introduced to color theory and the painting process. You will learn how to observe and identify value, color intensity, and color temperature. You will experiment with layering approaches for building up a painting as well as wet-into-wet alla prima painting techniques. You will learn design vocabulary around composition, atmospheric perspective, color mixing, and concepts for suggesting the illusion of dimensionality and space. Subject matter will include still life, the human figure, and landscape. Oil paint is the principal medium utilized in this class, though charcoal and acrylic paint are also used. In addition, you will be exposed to a wide variety of contemporary and traditional trends in painting to both inform and inspire your own work.",Half-credit.,Prerequisite: None.
ART302.2,Painting I,Spring,RAC111,"Materials fee: $80.
In this hands-on visual art class, you will be introduced to color theory and the painting process. You will learn how to observe and identify value, color intensity, and color temperature. You will experiment with layering approaches for building up a painting as well as wet-into-wet alla prima painting techniques. You will learn design vocabulary around composition, atmospheric perspective, color mixing, and concepts for suggesting the illusion of dimensionality and space. Subject matter will include still life, the human figure, and landscape. Oil paint is the principal medium utilized in this class, though charcoal and acrylic paint are also used. In addition, you will be exposed to a wide variety of contemporary and traditional trends in painting to both inform and inspire your own work.",Half-credit.,Prerequisite: None.
ART303.1,Drawing and Composition I,Spring,RAC109,"Materials fee: $30.
Drawing is a fundamental practice for a visual artist and is a skill that can be learned. In this course, you will be introduced to a wide variety of drawing approaches, including perspective drawing, contour line drawing, quick- and long-pose figure drawing, portraiture, and landscape sketching in the field. You will explore drawing and design challenges with a variety of media, including graphite, charcoal, conté crayon, ink, paint, and scratchboard. This class will greatly improve your drawing abilities and overall confidence in the visual arts and prepare you for other visual art courses. In addition to visual vocabulary, you will be exposed to a wide variety of contemporary and traditional trends in drawing.",Half-credit.,Prerequisite: None.
